id,name,published_at,employer_name,alternate_url,level
130746087,Frontend-разработчик в команду инфраструктурного продукта,2026-02-25T12:22:02+0300,КРОК,https://hh.ru/vacancy/130746087,Unknown
130750126,Директор продуктов,2026-02-25T13:00:30+0300,Ростелеком Информационные Технологии,https://hh.ru/vacancy/130750126,Unknown
130683727,Head of the Smart city office,2026-02-24T09:58:01+0300,Elite Business Group,https://hh.ru/vacancy/130683727,Unknown
130745491,Средний Java Разработчик (Middle +),2026-02-25T12:11:08+0300,Home Labs,https://hh.ru/vacancy/130745491,Middle
130379791,Аналитик данных,2026-02-12T08:19:34+0300,STRATERA,https://hh.ru/vacancy/130379791,Unknown
130407420,Младший веб-аналитик,2026-02-12T16:20:41+0300,E-PROMO,https://hh.ru/vacancy/130407420,Junior
130668126,BI-аналитик / аналитик данных - middle/senior,2026-02-23T12:57:38+0300,"Enterprise Innovation Consulting, LLC",https://hh.ru/vacancy/130668126,Senior
130753213,Performance Analyst,2026-02-25T13:38:27+0300,Kaspi.kz,https://hh.ru/vacancy/130753213,Unknown
130689279,Marketing Analyst,2026-02-24T11:09:11+0300,Heads and Hearts,https://hh.ru/vacancy/130689279,Unknown
130583457,Бизнес-ассистент,2026-02-18T18:32:27+0300,Абаскулиева Елена Рафаиловна,https://hh.ru/vacancy/130583457,Unknown
130621807,Аналитик данных (Ценообразование),2026-02-22T19:19:03+0300,ТехВилл,https://hh.ru/vacancy/130621807,Unknown
130664716,Специалист по информационной безопасности,2026-02-23T08:38:46+0300,APEX BANK,https://hh.ru/vacancy/130664716,Unknown
129936539,Младший ML-инженер (Data Scientist),2026-01-28T01:14:21+0300,ОптималФлоу Групп,https://hh.ru/vacancy/129936539,Junior
130706124,Руководитель направления / Аналитик процессов операционного планирования,2026-02-24T15:25:56+0300,Группа Илим,https://hh.ru/vacancy/130706124,Unknown
130494224,Back-End Разработчик (Golang) в Syntes AI,2026-02-16T15:34:31+0300,СИНТЕЗ ВОСТОК,https://hh.ru/vacancy/130494224,Unknown
130663217,Data Analyst (Junior–Middle),2026-02-22T20:34:08+0300,АНКОР Центральная Азия,https://hh.ru/vacancy/130663217,Middle
130685878,Sotuv menedjeri / Call operator,2026-02-24T10:27:55+0300,ОЮ UZBEKISTAN CREATIVE ASSOCIATION,https://hh.ru/vacancy/130685878,Unknown
130080897,Data Scientist,2026-02-23T11:25:16+0300,ЕМЕ,https://hh.ru/vacancy/130080897,Unknown
130654196,ML-инженер,2026-02-20T19:15:00+0300,ЕВАППС,https://hh.ru/vacancy/130654196,Unknown
130664724,Middle Full-stack Developer,2026-02-23T08:39:33+0300,HJ Platform (Hero’s Journey),https://hh.ru/vacancy/130664724,Middle
130655875,Бизнес-аналитик,2026-02-21T03:25:03+0300,metaLead,https://hh.ru/vacancy/130655875,Unknown
130733165,Бизнес / Системный аналитик,2026-02-25T09:04:48+0300,ONESOFT,https://hh.ru/vacancy/130733165,Unknown
130743756,"Back-end Developer - Java, Kubernetes (Middle/Middle+)",2026-02-25T11:48:37+0300,Частная компания Global DTC Kazakhstan,https://hh.ru/vacancy/130743756,Middle
130671303,Руководитель направления продаж (Электромобильность),2026-02-23T18:38:36+0300,Газпромнефть-Региональные продажи,https://hh.ru/vacancy/130671303,Unknown
130620953,B2B Менеджер по продажам / Outreach Sales,2026-02-19T18:09:09+0300,Insquad,https://hh.ru/vacancy/130620953,Unknown
130647496,Специалист технической поддержки (2 линия),2026-02-20T15:19:19+0300,Петрович-Тех,https://hh.ru/vacancy/130647496,Unknown
130559836,Главный специалист по работе с контролирующими органами,2026-02-18T11:25:29+0300,Газпромнефть-Региональные продажи,https://hh.ru/vacancy/130559836,Unknown
130715005,Data Scientist (Computer Vision) — Middle-/Middle,2026-02-24T18:31:23+0300,WaveAccess,https://hh.ru/vacancy/130715005,Middle
130359149,Project Assistant (Проектный ассистент),2026-02-11T13:55:08+0300,Германское общество по международному сотрудничеству (GIZ) в Казахстане,https://hh.ru/vacancy/130359149,Unknown
130664114,"Senior .NET Developer (Highload, Fintech)",2026-02-23T07:25:38+0300,IndigoSoft,https://hh.ru/vacancy/130664114,Senior
130745882,Руководитель научно-образовательного центра НПО,2026-02-25T12:17:56+0300,DENIS Pharm Group,https://hh.ru/vacancy/130745882,Unknown
130577014,Middle AI Developer / Разработчик ИИ,2026-02-18T16:05:50+0300,Grand Line,https://hh.ru/vacancy/130577014,Middle
129952693,Junior/Middle Frontend Developer,2026-01-28T11:27:39+0300,АстраЗенека,https://hh.ru/vacancy/129952693,Middle
130079887,Бизнес-аналитик,2026-02-02T11:08:07+0300,Матвеева Надежда Евгеньевна,https://hh.ru/vacancy/130079887,Unknown
130434055,Front-End Developer,2026-02-13T13:43:42+0300,Astana International Exchange,https://hh.ru/vacancy/130434055,Unknown
130745352,Junior QA engineer,2026-02-25T12:09:26+0300,Частная компания Solva Technology Ltd.,https://hh.ru/vacancy/130745352,Junior
130574613,Технический менеджер продукта (Логистика / FoodTech),2026-02-18T15:20:25+0300,Много лосося,https://hh.ru/vacancy/130574613,Unknown
129745728,Менеджер по обработке данных ( Clinical data manager),2026-02-05T10:45:13+0300,ИФАРМА,https://hh.ru/vacancy/129745728,Unknown
130222199,Python-разработчик (middle)/Data Science Engineer (AI Agents & Integrations),2026-02-05T19:50:20+0300,Finstar Financial Group,https://hh.ru/vacancy/130222199,Middle
130702432,Директор по персоналу (HRD),2026-02-24T14:29:48+0300,Банкирро,https://hh.ru/vacancy/130702432,Unknown
130636087,Protection Field Officer,2026-02-23T11:18:21+0300,МИССИЯ МЕЖДУНАРОДНОГО КОМИТЕТА КРАСНОГО КРЕСТА В РЕСПУБЛИКЕ КАЗАХСТАН(International Committee of the Red Cross Mission in the Republic of Kazakhstan),https://hh.ru/vacancy/130636087,Unknown
130690664,Стажер Data scientist,2026-02-24T11:28:00+0300,СБЕР,https://hh.ru/vacancy/130690664,Intern
130699904,Chapter Lead в Wildberries Fintech/Банк,2026-02-24T13:49:42+0300,RWB (Wildberries & Russ),https://hh.ru/vacancy/130699904,Unknown
130639444,Junior system administrator / MSSQL Administrator,2026-02-20T12:28:18+0300,IDF Technology,https://hh.ru/vacancy/130639444,Junior
130532447,Senior Performance Manager,2026-02-17T14:59:56+0300,Карпов Курсес,https://hh.ru/vacancy/130532447,Senior
130273680,"Начинающий ML-специалист (Data Science, стажер)",2026-02-09T10:27:00+0300,Скиба Сергей Александрович,https://hh.ru/vacancy/130273680,Junior
130534264,ML Engineer,2026-02-23T15:30:18+0300,СИГМА,https://hh.ru/vacancy/130534264,Unknown
130618847,Data Scientist,2026-02-19T17:04:14+0300,Овербест Рус,https://hh.ru/vacancy/130618847,Unknown
130657105,Performance marketing manager (EdTech),2026-02-24T10:25:24+0300,Simulative,https://hh.ru/vacancy/130657105,Unknown
130742377,Старший технический писатель (MLS ETL),2026-02-25T11:26:43+0300,Cloud.ru,https://hh.ru/vacancy/130742377,Senior
130475589,Бизнес-аналитик (Визуализация),2026-02-16T11:05:32+0300,ГФК-Русь,https://hh.ru/vacancy/130475589,Unknown
130477731,Игровой аналитик (Gamedev),2026-02-16T11:33:03+0300,ROCKSTONE,https://hh.ru/vacancy/130477731,Unknown
130742457,Sales Manager,2026-02-25T11:27:56+0300,УайтСнейк,https://hh.ru/vacancy/130742457,Unknown
130731483,Дата-аналитик,2026-02-25T08:25:40+0300,СБЕР,https://hh.ru/vacancy/130731483,Unknown
130531899,Бизнес-аналитик (AI),2026-02-17T14:49:07+0300,ARHITEX,https://hh.ru/vacancy/130531899,Unknown
130605116,Специалист по искусcтвенному интеллекту (AI),2026-02-19T12:47:36+0300,"O'ZBEKISTON RESPUBLIKASI INVESTITSIYALAR, SANOAT VA SAVDO VAZIRLIGI QOSHIDAGI RAQAMLASHTIRISH MARKAZI MCHJ",https://hh.ru/vacancy/130605116,Unknown
130621457,Middle QA Engineer (AI Agent Testing),2026-02-19T18:42:10+0300,СБЕР,https://hh.ru/vacancy/130621457,Middle
130599708,Ассистент отделов контента и email-маркетинга,2026-02-25T11:09:49+0300,Отус,https://hh.ru/vacancy/130599708,Unknown
130699631,Operations support Analyst,2026-02-24T13:44:35+0300,"Islamic Development Bank, АО",https://hh.ru/vacancy/130699631,Unknown
129763603,AI-инженер,2026-02-21T15:22:04+0300,Точка Банк,https://hh.ru/vacancy/129763603,Unknown
130479152,Аналитик данных (Data Scientist),2026-02-16T11:53:30+0300,Институт экономики и развития транспорта,https://hh.ru/vacancy/130479152,Unknown
130665646,Marketing Officer / Специалист по маркетингу,2026-02-23T09:48:48+0300,KIMEP,https://hh.ru/vacancy/130665646,Unknown
129561212,"Стажер Data Science, Новосибирск",2026-02-17T06:40:43+0300,СБЕР,https://hh.ru/vacancy/129561212,Intern
